Date,Time,PrimaryType,Latitude,Longitude,Location,type_weight,date_weight,weight
20130525,1645,BATTERY,41.804885185,-87.60888604,"(41.804885185, -87.60888604)",400,6.018903795158597,2407.5615180634386
20130525,1700,MOTOR VEHICLE THEFT,41.807405538000005,-87.59355871,"(41.807405538, -87.59355871)",300,6.018903795158597,1805.671138547579
20130525,1700,MOTOR VEHICLE THEFT,41.802022849000004,-87.59508400899998,"(41.802022849, -87.595084009)",300,6.018903795158597,1805.671138547579
20130525,2115,BATTERY,41.80346438,-87.590523176,"(41.80346438, -87.590523176)",400,6.018903795158597,2407.5615180634386
20130525,2200,THEFT,41.805011643,-87.615039175,"(41.805011643, -87.615039175)",200,6.018903795158597,1203.7807590317193
20130526,120,ASSAULT,41.802804149,-87.610053795,"(41.802804149, -87.610053795)",400,6.102209431514896,2440.8837726059583
20130526,310,BATTERY,41.80360123,-87.601583416,"(41.80360123, -87.601583416)",400,6.102209431514896,2440.8837726059583
20130526,318,OTHER OFFENSE,41.801796061,-87.598233422,"(41.801796061, -87.598233422)",100,6.102209431514896,610.2209431514896
20130526,530,THEFT,41.803191896,-87.595936164,"(41.803191896, -87.595936164)",200,6.102209431514896,1220.4418863029791
20130526,709,ASSAULT,41.808854421,-87.601685027,"(41.808854421, -87.601685027)",400,6.102209431514896,2440.8837726059583
20130526,900,ASSAULT,41.803140971,-87.608197825,"(41.803140971, -87.608197825)",400,6.102209431514896,2440.8837726059583
20130526,1400,BURGLARY,41.797331228000004,-87.60125867299999,"(41.797331228, -87.601258673)",400,6.102209431514896,2440.8837726059583
20130526,1500,ASSAULT,41.797277334,-87.59969332700001,"(41.797277334, -87.599693327)",400,6.102209431514896,2440.8837726059583
20130526,1500,BURGLARY,41.785772561,-87.61170826899998,"(41.785772561, -87.611708269)",400,6.102209431514896,2440.8837726059583
20130526,1900,THEFT,41.783319928000004,-87.596266567,"(41.783319928, -87.596266567)",200,6.102209431514896,1220.4418863029791
20130526,2100,BATTERY,41.783536745999996,-87.60965072799999,"(41.783536746, -87.609650728)",400,6.102209431514896,2440.8837726059583
20130526,2130,ASSAULT,41.781534778,-87.60595545299999,"(41.781534778, -87.605955453)",400,6.102209431514896,2440.8837726059583
20130526,2305,NARCOTICS,41.781238369,-87.60595147,"(41.781238369, -87.60595147)",200,6.102209431514896,1220.4418863029791
20130527,350,BATTERY,41.800938808000005,-87.589121997,"(41.800938808, -87.589121997)",400,6.186087615200101,2474.4350460800406
20130527,1155,THEFT,41.795191528000004,-87.58815799799999,"(41.795191528, -87.588157998)",200,6.186087615200101,1237.2175230400203
20130527,1335,THEFT,41.797038232,-87.587282115,"(41.797038232, -87.587282115)",200,6.186087615200101,1237.2175230400203
20130527,1440,NARCOTICS,41.780247905,-87.615146952,"(41.780247905, -87.615146952)",200,6.186087615200101,1237.2175230400203
20130527,1642,OTHER OFFENSE,41.801895518,-87.58769156,"(41.801895518, -87.58769156)",100,6.186087615200101,618.6087615200101
20130527,1735,OTHER OFFENSE,41.802132606,-87.613677631,"(41.802132606, -87.613677631)",100,6.186087615200101,618.6087615200101
20130527,1813,CRIMINAL DAMAGE,41.808895616,-87.613855034,"(41.808895616, -87.613855034)",300,6.186087615200101,1855.8262845600304
20130527,1814,BATTERY,41.784040769,-87.606895111,"(41.784040769, -87.606895111)",400,6.186087615200101,2474.4350460800406
20130527,1900,MOTOR VEHICLE THEFT,41.797607683,-87.598138262,"(41.797607683, -87.598138262)",300,6.186087615200101,1855.8262845600304
20130527,2050,BATTERY,41.799629695,-87.58362124700001,"(41.799629695, -87.583621247)",400,6.186087615200101,2474.4350460800406
20130527,2200,ASSAULT,41.805238294,-87.61135783200001,"(41.805238294, -87.611357832)",400,6.186087615200101,2474.4350460800406
20130528,30,MOTOR VEHICLE THEFT,41.781627992,-87.599468431,"(41.781627992, -87.599468431)",300,6.270538346214217,1881.161503864265
20130528,400,CRIM SEXUAL ASSAULT,41.79340561,-87.58487459999998,"(41.79340561, -87.5848746)",500,6.270538346214217,3135.269173107108
20130528,630,CRIMINAL DAMAGE,41.800206941999996,-87.591800419,"(41.800206942, -87.591800419)",300,6.270538346214217,1881.161503864265
20130528,700,BURGLARY,41.783257718,-87.601129129,"(41.783257718, -87.601129129)",400,6.270538346214217,2508.2153384856865
20130528,800,THEFT,41.789212998,-87.586661479,"(41.789212998, -87.586661479)",200,6.270538346214217,1254.1076692428433
20130528,900,OTHER OFFENSE,41.794792636,-87.582529785,"(41.794792636, -87.582529785)",100,6.270538346214217,627.0538346214216
20130528,1110,BATTERY,41.781885411,-87.594673414,"(41.781885411, -87.594673414)",400,6.270538346214217,2508.2153384856865
20130528,1215,ASSAULT,41.78210152,-87.586502002,"(41.78210152, -87.586502002)",400,6.270538346214217,2508.2153384856865
20130528,1240,NARCOTICS,41.784909185,-87.609697627,"(41.784909185, -87.609697627)",200,6.270538346214217,1254.1076692428433
20130528,1850,ASSAULT,41.803412024000004,-87.603764184,"(41.803412024, -87.603764184)",400,6.270538346214217,2508.2153384856865
20130528,1900,THEFT,41.796576714000004,-87.591020791,"(41.796576714, -87.591020791)",200,6.270538346214217,1254.1076692428433
20130529,1,OTHER OFFENSE,41.807499342,-87.59023448200001,"(41.807499342, -87.590234482)",100,6.355561624557241,635.5561624557241
20130529,130,BURGLARY,41.804996145,-87.606467715,"(41.804996145, -87.606467715)",400,6.355561624557241,2542.2246498228965
20130529,219,BATTERY,41.802748279,-87.606419768,"(41.802748279, -87.606419768)",400,6.355561624557241,2542.2246498228965
20130529,820,CRIMINAL DAMAGE,41.798845461999996,-87.581198875,"(41.798845462, -87.581198875)",300,6.355561624557241,1906.6684873671725
20130529,930,CRIMINAL DAMAGE,41.806890268000004,-87.589834384,"(41.806890268, -87.589834384)",300,6.355561624557241,1906.6684873671725
20130529,1120,ASSAULT,41.790353984,-87.604942686,"(41.790353984, -87.604942686)",400,6.355561624557241,2542.2246498228965
20130529,1157,PUBLIC PEACE VIOLATION,41.797283881999995,-87.59344041700001,"(41.797283882, -87.593440417)",100,6.355561624557241,635.5561624557241
20130529,1200,OTHER OFFENSE,41.802847689000004,-87.611303981,"(41.802847689, -87.611303981)",100,6.355561624557241,635.5561624557241
20130529,1404,CRIMINAL DAMAGE,41.791160785,-87.579836586,"(41.791160785, -87.579836586)",300,6.355561624557241,1906.6684873671725
20130529,1500,CRIMINAL DAMAGE,41.783319928000004,-87.596266567,"(41.783319928, -87.596266567)",300,6.355561624557241,1906.6684873671725
20130529,1530,ROBBERY,41.781776304,-87.605960056,"(41.781776304, -87.605960056)",400,6.355561624557241,2542.2246498228965
20130529,1920,NARCOTICS,41.799996719,-87.614420361,"(41.799996719, -87.614420361)",200,6.355561624557241,1271.1123249114482
20130529,2110,THEFT,41.785774545,-87.611587245,"(41.785774545, -87.611587245)",200,6.355561624557241,1271.1123249114482
20130529,2218,ROBBERY,41.780311376,-87.61169984,"(41.780311376, -87.61169984)",400,6.355561624557241,2542.2246498228965
20130529,2300,BATTERY,41.780155491,-87.586451255,"(41.780155491, -87.586451255)",400,6.355561624557241,2542.2246498228965
20130529,2300,BURGLARY,41.784190764,-87.59384396700001,"(41.784190764, -87.593843967)",400,6.355561624557241,2542.2246498228965
20130529,2300,CRIMINAL DAMAGE,41.791472391999996,-87.594005969,"(41.791472392, -87.594005969)",300,6.355561624557241,1906.6684873671725
20130529,2324,NARCOTICS,41.809006703,-87.611440233,"(41.809006703, -87.611440233)",200,6.355561624557241,1271.1123249114482
20130530,15,THEFT,41.784103200000004,-87.60202882600002,"(41.7841032, -87.602028826)",200,6.441157450229176,1288.2314900458352
20130530,530,BATTERY,41.782293757,-87.600586454,"(41.782293757, -87.600586454)",400,6.441157450229176,2576.4629800916705
20130530,900,THEFT,41.796377088,-87.599674256,"(41.796377088, -87.599674256)",200,6.441157450229176,1288.2314900458352
20130530,900,ASSAULT,41.78210152,-87.586502002,"(41.78210152, -87.586502002)",400,6.441157450229176,2576.4629800916705
20130530,1200,THEFT,41.79524894,-87.58180568200001,"(41.79524894, -87.581805682)",200,6.441157450229176,1288.2314900458352
20130530,1420,THEFT,41.802497699,-87.58618451,"(41.802497699, -87.58618451)",200,6.441157450229176,1288.2314900458352
20130530,1430,DECEPTIVE PRACTICE,41.79524894,-87.58180568200001,"(41.79524894, -87.581805682)",100,6.441157450229176,644.1157450229176
20130530,1500,DECEPTIVE PRACTICE,41.802115448,-87.58775136,"(41.802115448, -87.58775136)",100,6.441157450229176,644.1157450229176
20130530,1505,OTHER OFFENSE,41.781711555,-87.60961258799999,"(41.781711555, -87.609612588)",100,6.441157450229176,644.1157450229176
20130530,1525,PUBLIC PEACE VIOLATION,41.78210152,-87.586502002,"(41.78210152, -87.586502002)",100,6.441157450229176,644.1157450229176
20130530,1530,BATTERY,41.799592992,-87.58514734799999,"(41.799592992, -87.585147348)",400,6.441157450229176,2576.4629800916705
20130530,1723,THEFT,41.802059617,-87.591845075,"(41.802059617, -87.591845075)",200,6.441157450229176,1288.2314900458352
20130530,1930,MOTOR VEHICLE THEFT,41.783138983,-87.614484044,"(41.783138983, -87.614484044)",300,6.441157450229176,1932.3472350687528
20130530,2127,BATTERY,41.78024763,-87.615102958,"(41.78024763, -87.615102958)",400,6.441157450229176,2576.4629800916705
20130530,2200,BATTERY,41.803060829,-87.585426093,"(41.803060829, -87.585426093)",400,6.441157450229176,2576.4629800916705
20130530,2205,BATTERY,41.805161436,-87.611355027,"(41.805161436, -87.611355027)",400,6.441157450229176,2576.4629800916705
20130531,900,THEFT,41.780540158,-87.594160891,"(41.780540158, -87.594160891)",200,6.527325823230021,1305.4651646460043
20130531,955,CRIMINAL DAMAGE,41.809139416,-87.59177810799999,"(41.809139416, -87.591778108)",300,6.527325823230021,1958.1977469690064
20130531,1030,THEFT,41.781591601,-87.61323273200001,"(41.781591601, -87.613232732)",200,6.527325823230021,1305.4651646460043
20130531,1225,BATTERY,41.797555001999996,-87.602785419,"(41.797555002, -87.602785419)",400,6.527325823230021,2610.9303292920085
20130531,1230,BATTERY,41.797922443000004,-87.602308153,"(41.797922443, -87.602308153)",400,6.527325823230021,2610.9303292920085
20130531,1330,THEFT,41.785814846,-87.609269439,"(41.785814846, -87.609269439)",200,6.527325823230021,1305.4651646460043
20130531,1400,BURGLARY,41.796923746,-87.602774252,"(41.796923746, -87.602774252)",400,6.527325823230021,2610.9303292920085
20130531,1400,THEFT,41.797202621,-87.596595271,"(41.797202621, -87.596595271)",200,6.527325823230021,1305.4651646460043
20130531,1440,THEFT,41.795190552,-87.58800765299999,"(41.795190552, -87.588007653)",200,6.527325823230021,1305.4651646460043
20130531,1500,THEFT,41.801860901,-87.59507853299999,"(41.801860901, -87.595078533)",200,6.527325823230021,1305.4651646460043
