Date,Time,PrimaryType,Latitude,Longitude,Location
20130110,2345,BATTERY,41.785268355,-87.61445292399998,"(41.785268355, -87.614452924)"
20130111,630,BURGLARY,41.783490352,-87.602754437,"(41.783490352, -87.602754437)"
20130111,700,CRIMINAL DAMAGE,41.789057836,-87.606108761,"(41.789057836, -87.606108761)"
20130111,800,THEFT,41.781811321,-87.59467426399998,"(41.781811321, -87.594674264)"
20130111,815,BATTERY,41.795739674000004,-87.59655701700001,"(41.795739674, -87.596557017)"
20130111,1240,NARCOTICS,41.780247905,-87.615146952,"(41.780247905, -87.615146952)"
20130111,1424,OTHER OFFENSE,41.780247905,-87.615146952,"(41.780247905, -87.615146952)"
20130111,1630,THEFT,41.780542335999996,-87.59407287299999,"(41.780542336, -87.594072873)"
20130111,1837,THEFT,41.799533271,-87.58989742899998,"(41.799533271, -87.589897429)"
20130111,1900,CRIMINAL DAMAGE,41.802847689000004,-87.611303981,"(41.802847689, -87.611303981)"
20130111,1921,CRIMINAL DAMAGE,41.802111489,-87.606401292,"(41.802111489, -87.606401292)"
20130111,2045,CRIMINAL DAMAGE,41.80281416,-87.606422691,"(41.80281416, -87.606422691)"
20130111,2130,THEFT,41.795191528000004,-87.58815799799999,"(41.795191528, -87.588157998)"
20130111,2330,BATTERY,41.784021864,-87.607811974,"(41.784021864, -87.607811974)"
20130112,145,THEFT,41.798628606,-87.60547245299999,"(41.798628606, -87.605472453)"
20130112,200,BATTERY,41.801709383,-87.596697686,"(41.801709383, -87.596697686)"
20130112,630,BATTERY,41.808468184,-87.61264938,"(41.808468184, -87.61264938)"
20130112,1000,OTHER OFFENSE,41.799204348,-87.584044296,"(41.799204348, -87.584044296)"
20130112,1100,CRIMINAL DAMAGE,41.799046916,-87.587262485,"(41.799046916, -87.587262485)"
20130112,1132,BATTERY,41.783232282,-87.61448300100002,"(41.783232282, -87.614483001)"
20130112,1340,BURGLARY,41.802670433,-87.614984635,"(41.802670433, -87.614984635)"
20130112,1457,THEFT,41.79946087,-87.596121972,"(41.79946087, -87.596121972)"
20130112,1900,BATTERY,41.784882919,-87.612066576,"(41.784882919, -87.612066576)"
20130112,2145,ASSAULT,41.800385354,-87.59180569700001,"(41.800385354, -87.591805697)"
20130112,2200,BATTERY,41.785373819,-87.6085264,"(41.785373819, -87.6085264)"
20130112,2330,MOTOR VEHICLE THEFT,41.805771723,-87.614586876,"(41.805771723, -87.614586876)"
20130113,730,DECEPTIVE PRACTICE,41.780439401,-87.603727666,"(41.780439401, -87.603727666)"
20130113,800,DECEPTIVE PRACTICE,41.797617768,-87.58905040100002,"(41.797617768, -87.589050401)"
20130113,830,THEFT,41.797383158,-87.58546277299999,"(41.797383158, -87.585462773)"
20130113,1400,CRIMINAL DAMAGE,41.784040653000005,-87.60687678,"(41.784040653, -87.60687678)"
20130113,1440,THEFT,41.783520979,-87.608455604,"(41.783520979, -87.608455604)"
20130113,1600,MOTOR VEHICLE THEFT,41.78381682,-87.588634381,"(41.78381682, -87.588634381)"
20130113,1700,THEFT,41.780155491,-87.586451255,"(41.780155491, -87.586451255)"
20130113,2100,THEFT,41.80226991,-87.605416574,"(41.80226991, -87.605416574)"
20130114,1045,BATTERY,41.78210152,-87.586502002,"(41.78210152, -87.586502002)"
20130114,1130,THEFT,41.803667488,-87.590528166,"(41.803667488, -87.590528166)"
20130114,1200,THEFT,41.791044692,-87.59024121200001,"(41.791044692, -87.590241212)"
20130114,1300,THEFT,41.808961715,-87.603884618,"(41.808961715, -87.603884618)"
20130114,1330,THEFT,41.785111676999996,-87.610912681,"(41.785111677, -87.610912681)"
20130114,1515,CRIMINAL DAMAGE,41.783816486999996,-87.588583053,"(41.783816487, -87.588583053)"
20130114,1521,THEFT,41.783818566,-87.58848036399998,"(41.783818566, -87.588480364)"
20130114,1600,OTHER OFFENSE,41.795234811,-87.58342309700001,"(41.795234811, -87.583423097)"
20130114,1800,BATTERY,41.807101267,-87.58640244700001,"(41.807101267, -87.586402447)"
20130114,2200,THEFT,41.803058246,-87.61337019,"(41.803058246, -87.61337019)"
20130114,2230,BATTERY,41.783260882,-87.607248571,"(41.783260882, -87.607248571)"
20130114,2245,NARCOTICS,41.805031832,-87.612566855,"(41.805031832, -87.612566855)"
20130115,341,BATTERY,41.780245963,-87.61527529700001,"(41.780245963, -87.615275297)"
20130115,1000,THEFT,41.781454478,-87.601090981,"(41.781454478, -87.601090981)"
20130115,1130,ASSAULT,41.783325684,-87.60275264,"(41.783325684, -87.60275264)"
20130115,1520,THEFT,41.790894592,-87.604940233,"(41.790894592, -87.604940233)"
20130115,1730,OTHER OFFENSE,41.780381693,-87.60761469299999,"(41.780381693, -87.607614693)"
20130115,1840,THEFT,41.799535754000004,-87.58985705799999,"(41.799535754, -87.589857058)"
20130115,2001,BATTERY,41.80341073,-87.61006897899998,"(41.80341073, -87.610068979)"
20130116,800,OTHER OFFENSE,41.78210152,-87.586502002,"(41.78210152, -87.586502002)"
20130116,900,THEFT,41.794272461,-87.590317611,"(41.794272461, -87.590317611)"
20130116,900,OTHER OFFENSE,41.807187006999996,-87.611401975,"(41.807187007, -87.611401975)"
20130116,1045,ROBBERY,41.791902415,-87.60808248299999,"(41.791902415, -87.608082483)"
20130116,1145,BURGLARY,41.797112043,-87.596592641,"(41.797112043, -87.596592641)"
20130116,1210,BATTERY,41.797922443000004,-87.602308153,"(41.797922443, -87.602308153)"
20130116,1330,BATTERY,41.803667488,-87.590528166,"(41.803667488, -87.590528166)"
20130116,1347,NARCOTICS,41.803152919,-87.607482491,"(41.803152919, -87.607482491)"
20130116,1356,WEAPONS VIOLATION,41.782971546999995,-87.614478581,"(41.782971547, -87.614478581)"
20130116,1500,BATTERY,41.781534693000005,-87.599469495,"(41.781534693, -87.599469495)"
20130116,1545,ASSAULT,41.781731648000004,-87.58786288600002,"(41.781731648, -87.587862886)"
20130116,1545,BATTERY,41.781250663,-87.6026992,"(41.781250663, -87.6026992)"
20130116,1630,BATTERY,41.798638003,-87.604790205,"(41.798638003, -87.604790205)"
20130116,1800,THEFT,41.798159128,-87.60630659899998,"(41.798159128, -87.606306599)"
20130116,2330,NARCOTICS,41.808986931,-87.612661906,"(41.808986931, -87.612661906)"
20130117,0,THEFT,41.781485945,-87.610828721,"(41.781485945, -87.610828721)"
20130117,325,BURGLARY,41.803986732,-87.612204459,"(41.803986732, -87.612204459)"
20130117,615,BURGLARY,41.782395288000004,-87.59075540299999,"(41.782395288, -87.590755403)"
20130117,835,ASSAULT,41.795234811,-87.58342309700001,"(41.795234811, -87.583423097)"
20130117,900,MOTOR VEHICLE THEFT,41.781663496,-87.60721526100002,"(41.781663496, -87.607215261)"
20130117,1000,DECEPTIVE PRACTICE,41.806890268000004,-87.589834384,"(41.806890268, -87.589834384)"
20130117,1145,NARCOTICS,41.780247905,-87.615146952,"(41.780247905, -87.615146952)"
20130117,1150,BATTERY,41.794644408,-87.58252418100003,"(41.794644408, -87.582524181)"
20130117,1400,THEFT,41.78210152,-87.586502002,"(41.78210152, -87.586502002)"
20130117,1525,BATTERY,41.78210152,-87.586502002,"(41.78210152, -87.586502002)"
20130117,1530,ASSAULT,41.784249699,-87.591067667,"(41.784249699, -87.591067667)"
20130117,1550,ASSAULT,41.784249699,-87.591067667,"(41.784249699, -87.591067667)"
20130117,1630,CRIMINAL DAMAGE,41.783334618000005,-87.594708112,"(41.783334618, -87.594708112)"
20130117,1800,THEFT,41.803119598,-87.609595454,"(41.803119598, -87.609595454)"
20130117,1930,BATTERY,41.78340035,-87.613274825,"(41.78340035, -87.613274825)"
20130117,2140,BATTERY,41.783289931,-87.614486024,"(41.783289931, -87.614486024)"
20130117,2200,BATTERY,41.781534778,-87.60595545299999,"(41.781534778, -87.605955453)"
20130117,2200,BATTERY,41.790872026,-87.606143261,"(41.790872026, -87.606143261)"
20130118,600,THEFT,41.790336836,-87.606134642,"(41.790336836, -87.606134642)"
20130118,700,BURGLARY,41.799248277,-87.584047451,"(41.799248277, -87.584047451)"
20130118,900,DECEPTIVE PRACTICE,41.797745447,-87.58546956299999,"(41.797745447, -87.585469563)"
20130118,1000,MOTOR VEHICLE THEFT,41.804115406,-87.60303365899998,"(41.804115406, -87.603033659)"
20130118,1034,NARCOTICS,41.782087824,-87.614030141,"(41.782087824, -87.614030141)"
20130118,1130,BATTERY,41.801709383,-87.596697686,"(41.801709383, -87.596697686)"
20130118,1430,THEFT,41.797936811,-87.60630177700001,"(41.797936811, -87.606301777)"
20130118,1435,THEFT,41.783389215999996,-87.608449755,"(41.783389216, -87.608449755)"
20130118,1830,THEFT,41.795190266999995,-87.587963649,"(41.795190267, -87.587963649)"
20130118,2010,BATTERY,41.802178985,-87.610574294,"(41.802178985, -87.610574294)"
20130118,2300,CRIM SEXUAL ASSAULT,41.797391622,-87.601261653,"(41.797391622, -87.601261653)"
20130119,1,BURGLARY,41.783306396,-87.61448584,"(41.783306396, -87.61448584)"
20130119,1,THEFT,41.785421199,-87.606036193,"(41.785421199, -87.606036193)"
20130119,141,OTHER OFFENSE,41.807117582,-87.604320012,"(41.807117582, -87.604320012)"
20130119,900,THEFT,41.799000961,-87.59501600600002,"(41.799000961, -87.595016006)"
20130119,900,CRIMINAL DAMAGE,41.785085247,-87.61325963899998,"(41.785085247, -87.613259639)"
20130119,1000,MOTOR VEHICLE THEFT,41.803352693,-87.611312982,"(41.803352693, -87.611312982)"
20130119,1145,ROBBERY,41.797692337,-87.590395465,"(41.797692337, -87.590395465)"
20130119,1200,THEFT,41.791160785,-87.579836586,"(41.791160785, -87.579836586)"
20130119,1300,THEFT,41.797995439,-87.59612409799999,"(41.797995439, -87.596124098)"
20130119,1340,ROBBERY,41.792901733,-87.58799383200001,"(41.792901733, -87.587993832)"
20130119,1432,NARCOTICS,41.809115178,-87.601693064,"(41.809115178, -87.601693064)"
20130119,1530,BURGLARY,41.785085247,-87.61325963899998,"(41.785085247, -87.613259639)"
20130119,1600,OTHER OFFENSE,41.782293546999995,-87.600553458,"(41.782293547, -87.600553458)"
20130119,1630,BATTERY,41.796339429,-87.606268489,"(41.796339429, -87.606268489)"
20130119,1800,BATTERY,41.781901899,-87.594676891,"(41.781901899, -87.594676891)"
20130119,1830,WEAPONS VIOLATION,41.785014658,-87.61206876600002,"(41.785014658, -87.612068766)"
20130119,1838,PUBLIC PEACE VIOLATION,41.785750338,-87.612977195,"(41.785750338, -87.612977195)"
20130119,2130,BATTERY,41.782990756,-87.614478366,"(41.782990756, -87.614478366)"
20130119,2200,BURGLARY,41.803119229,-87.609536776,"(41.803119229, -87.609536776)"
20130119,2230,ROBBERY,41.79519041,-87.587985651,"(41.79519041, -87.587985651)"
20130119,2334,BATTERY,41.797572754,-87.60126325899998,"(41.797572754, -87.601263259)"
20130120,103,CRIMINAL DAMAGE,41.783279429000004,-87.608447325,"(41.783279429, -87.608447325)"
20130120,345,BATTERY,41.783979771999995,-87.6102764,"(41.783979772, -87.6102764)"
20130120,1530,MOTOR VEHICLE THEFT,41.785236218,-87.61326528299999,"(41.785236218, -87.613265283)"
20130120,1930,BATTERY,41.808691087,-87.61143644,"(41.808691087, -87.61143644)"
20130120,2015,CRIMINAL DAMAGE,41.785848109,-87.607582382,"(41.785848109, -87.607582382)"
20130121,430,DECEPTIVE PRACTICE,41.799533674,-87.58995977100003,"(41.799533674, -87.589959771)"
20130121,900,DECEPTIVE PRACTICE,41.801307936,-87.584690956,"(41.801307936, -87.584690956)"
20130121,900,OTHER OFFENSE,41.807499342,-87.59023448200001,"(41.807499342, -87.590234482)"
20130121,1059,MOTOR VEHICLE THEFT,41.803138945,-87.60831154600002,"(41.803138945, -87.608311546)"
20130121,1128,OTHER OFFENSE,41.808706218000005,-87.601683046,"(41.808706218, -87.601683046)"
20130121,1300,BURGLARY,41.800938808000005,-87.589121997,"(41.800938808, -87.589121997)"
20130121,1500,THEFT,41.803417249,-87.585796054,"(41.803417249, -87.585796054)"
20130121,1530,WEAPONS VIOLATION,41.809041065,-87.60169024,"(41.809041065, -87.60169024)"
20130121,1630,ASSAULT,41.799159351,-87.60391511200001,"(41.799159351, -87.603915112)"
20130121,1730,ASSAULT,41.788699253000004,-87.604954085,"(41.788699253, -87.604954085)"
20130121,1809,OTHER OFFENSE,41.808728226999996,-87.61385690700001,"(41.808728227, -87.613856907)"
20130122,1115,THEFT,41.805910282,-87.60521398200001,"(41.805910282, -87.605213982)"
20130122,1201,THEFT,41.793971936999995,-87.58840682299999,"(41.793971937, -87.588406823)"
20130122,1300,MOTOR VEHICLE THEFT,41.802173267,-87.610974131,"(41.802173267, -87.610974131)"
20130122,1330,BATTERY,41.801888471,-87.58914401700001,"(41.801888471, -87.589144017)"
20130122,1603,ASSAULT,41.802132606,-87.613677631,"(41.802132606, -87.613677631)"
20130122,1830,CRIMINAL DAMAGE,41.785122047,-87.60603224,"(41.785122047, -87.60603224)"
